Heat Sink Temp,Block Temp,Iset,Imeasure
35.3785,62.3725,1.1921,1.2491
35.4277,62.492,1.1366,1.4264
35.4277,62.5993,1.047,1.2491
35.4769,62.7335,0.9663,1.1604
35.3785,62.8606,0.8747,1.0691
35.2305,62.9948,0.8009,0.8891
35.2305,63.0754,0.7641,0.9912
35.526,63.1658,0.7262,0.8999
35.1811,63.2512,0.7525,0.8891
35.2305,63.3003,0.766,1.01
35.3785,63.3587,0.7954,1.0584
35.3292,63.4274,0.8156,0.9321
35.082,63.486,0.868,1.104
35.3292,63.5251,0.9202,1.0718
35.2305,63.5935,0.9599,1.2195
35.082,63.662,0.9666,1.241
35.1811,63.7451,0.98,1.0181
35.2305,63.8232,0.9776,1.2303
35.0324,63.8993,0.9856,1.1873
35.082,63.9896,0.9761,1.1873
35.0324,64.0727,0.9613,1.1524
35.2305,64.1512,0.9467,0.9858
35.0324,64.2344,0.9488,1.2142
35.0324,64.3272,0.9401,1.1578
35.082,64.4104,0.9142,1.0637
34.933,64.5036,0.899,1.1363
34.933,64.5697,0.8996,1.0369
34.7837,64.6308,0.9205,1.1658
34.8335,64.7387,0.9273,1.0396
34.7337,64.7778,0.9355,1.002
34.9828,64.8414,0.9731,1.2571
34.7837,64.9248,0.9743,1.139
34.933,65.0129,0.9775,1.0879
34.8335,65.0814,0.9755,1.2652
34.7337,65.1647,0.9774,1.2249
34.7837,65.2237,0.9648,1.2222
34.6838,65.3241,0.9769,1.0261
34.7337,65.3755,0.9708,1.2518
34.7837,65.4834,0.9687,1.1766
34.8335,65.5617,0.9596,1.2598
34.7337,65.6256,0.9626,1.1551
34.5837,65.7188,0.9769,1.2491
34.6838,65.7803,0.9757,1.2142
34.6838,65.8561,0.9898,1.1524
34.6338,65.9249,1.001,1.2249
34.6338,66.0156,1.0046,1.1551
34.6338,66.0966,1.0001,1.284
34.5837,66.1554,0.9931,1.1228
34.6338,66.2438,1.0026,1.0476
34.6338,66.3076,1.0251,1.3028
34.4332,66.4084,1.0118,1.2679
34.4834,66.4598,1.0053,1.2867
34.5837,66.536,1.0037,1.1846
34.3325,66.6219,1.0135,1.0825
34.4332,66.6907,1.0294,1.3243
34.6338,66.7692,1.0166,1.2034
34.3325,66.8479,1.0195,1.3028
34.5837,66.9166,1.0228,1.2437
34.4332,66.9951,1.0381,1.233
34.2821,67.0836,1.0285,1.2625
34.4332,67.1575,1.034,1.3162
34.2316,67.2337,1.0403,1.3377
34.3325,67.3099,1.043,1.2357
34.1811,67.3884,1.0353,1.3189
34.2821,67.4673,1.0328,1.3136
34.3325,67.5385,1.0414,1.2948
34.2316,67.6147,1.0651,1.3646
34.2316,67.7032,1.0461,1.1094
34.2821,67.7748,1.0475,1.327
34.2316,67.8411,1.0628,1.3646
34.3828,67.9396,1.0669,1.3136
34.2316,68.0304,1.0417,1.3377
34.2821,68.0873,1.052,1.2921
34.1811,68.1561,1.0556,1.1228
34.1305,68.2202,1.0659,1.2706
34.0293,68.3039,1.0859,1.1658
34.0799,68.3778,1.0773,1.378
34.0293,68.4466,1.0582,1.3753
34.1305,68.5352,1.0587,1.2357
34.0293,68.6288,1.0675,1.378
34.0293,68.6905,1.0508,1.1981
34.1305,68.757,1.0801,1.3915
33.9785,68.826,1.089,1.2733
33.9277,68.8949,1.1033,1.4049
34.0799,68.9738,1.1076,1.4049
33.9277,69.0577,1.103,1.3727
33.9785,69.1563,1.0953,1.4049
33.9785,69.2203,1.1015,1.1578
33.9277,69.2696,1.1252,1.421
33.9785,69.3781,1.1055,1.3431
33.826,69.4497,1.0848,1.2706
33.9785,69.5556,1.093,1.3512
33.826,69.6148,1.0965,1.1981
33.8769,69.6839,1.0967,1.3673
33.8769,69.7384,1.1124,1.4318
33.826,69.832,1.1172,1.3055
33.8769,69.8863,1.1317,1.4532
33.8769,69.9629,1.1429,1.4156
33.826,70.059,1.1142,1.2894
33.775,70.1135,1.1351,1.4532
33.826,70.1924,1.1505,1.3324
33.826,70.2961,1.1451,1.4318
33.5705,70.3504,1.1272,1.3136
33.6217,70.4318,1.126,1.1819
33.6217,70.5135,1.1293,1.4291
33.775,70.6001,1.1317,1.3673
33.6217,70.6815,1.1344,1.464
33.5193,70.7409,1.127,1.3485
